Frame,Away_549_x,Away_549_y,Away_893_x,Away_893_y,Away_894_x,Away_894_y,Away_1066_x,Away_1066_y,Away_1067_x,Away_1067_y,Away_1068_x,Away_1068_y,Away_1069_x,Away_1069_y,Away_1070_x,Away_1070_y,Away_1492_x,Away_1492_y,Away_5518_x,Away_5518_y,ball_x,ball_y,Period,Time [s]
0,46.88237554532166,-3.008991773057554,-10.023129251700684,-9.285714285714288,-9.63407231653009,-30.19622671039147,6.417687074829926,-25.714285714285708,-1.2258503401360468,-23.0,5.9850340136054445,-5.714285714285719,3.6775510204081634,-29.142857142857146,0.6489795918367378,-26.71428571428572,-4.6204385916997435,-26.337641608354183,-8.76373240876584,-24.526818358126857,-3.8217687074829976,-26.42857142857143,1,0.0
1,46.86850609772695,-3.0049765045669257,-9.847743481820569,-9.290158521530751,-9.63407231653009,-30.19622671039147,6.4346443283168355,-25.507293048929068,-0.9357503698218625,-22.915246950027008,5.706880412260764,-5.741640743322278,3.6766114047063305,-29.055603362239953,0.5974809120507729,-26.63774088055156,-4.443525770896603,-26.35452107986286,-8.575107496981813,-24.401240035060695,-3.624879429255106,-25.600617150558833,1,0.05
2,46.85660189125485,-3.001530182366508,-9.664008854521015,-9.295072430092123,-9.63407231653009,-30.19622671039147,6.462034317712861,-25.302416689249114,-0.6537740031353128,-22.82523227662378,5.461073565492807,-5.765845582414062,3.68599198718054,-28.968947829131967,0.5609139576507134,-26.558726095961422,-4.266627816215517,-26.364640886562974,-8.38675242261958,-24.267056432850502,-3.4355009136843737,-24.804246959445855,1,0.1
3,46.84656627470259,-2.9986248254911807,-9.4723359693472,-9.30043291273877,-9.63407231653009,-30.19622671039147,6.4995482517332945,-25.099606060494988,-0.37956931011621164,-22.730100693592046,5.246735082991492,-5.786981973923677,3.7055628789170303,-28.88284135206684,0.5388984394391709,-26.477313885091235,-4.089876636138204,-26.368259596998882,-8.19849277168539,-24.124655642971494,-3.2536331607708684,-24.039460855232576,1,0.15000000000000002
4,46.838302596867386,-2.9962324529758813,-9.273135425844412,-9.306216870811163,-9.63407231653009,-30.19622671039147,6.546877339093356,-24.898810587915875,-0.1127843608044104,-22.629996914733525,5.062986574446564,-5.805131660213759,3.735194191002099,-28.79723473957819,0.5310540682188245,-26.393576772517022,-3.913404139146417,-26.36563577971498,-8.010154130185601,-23.97442575689888,-3.079276170514561,-23.30625883791896,1,0.2
5,46.83171420654658,-2.994325083855485,-9.066817823557859,-9.312401205649664,-9.63407231653009,-30.19622671039147,6.603712788508293,-24.699979696760852,0.14693277476029223,-22.525065653849946,4.908949649547905,-5.82037638364692,3.77475603452212,-28.712078800199684,0.5370005547922181,-26.307587282814797,-3.737342233721812,-26.357028003255618,-7.821562084126511,-23.81675486610782,-2.912429942915435,-22.604640907505008,1,0.25
6,46.82670445253734,-2.992874737164915,-8.853793762032698,-9.318962818594695,-9.63407231653009,-30.19622671039147,6.669745808693332,-24.503062812279097,0.39993402653812016,-22.415451624742985,4.783745917985389,-5.832797886585781,3.82411852056333,-28.627324342464963,0.5563576099620536,-26.21941794056053,-3.561822828346108,-26.342694836165172,-7.632542219514331,-23.65203106207351,-2.753094477973507,-21.93460706399069,1,0.30000000000000004
7,46.823176683636945,-2.991853431939084,-8.634473840814238,-9.325878610986713,-9.63407231653009,-30.19622671039147,6.744667608363734,-24.308009359719687,0.6465713244892444,-22.301299541214405,4.686496989448821,-5.842477911393,3.8831517602120145,-28.54292217490764,0.5887449445308897,-26.129141270330205,-3.3869778315010577,-26.322894846987992,-7.442920122355493,-23.480642436271157,-2.6012697756887686,-21.29615730737608,1,0.35000000000000003
8,46.82103424864265,-2.991233187212877,-8.409268659447607,-9.333125484166105,-9.63407231653009,-30.19622671039147,6.828169396234723,-24.114768764331828,0.8871965985738739,-22.182754117065898,4.616324473628023,-5.849498200431167,3.951725864554584,-28.45882310606138,0.6337822693014434,-26.036829796699863,-3.212939151668378,-26.297886604268413,-7.252521378656181,-23.302977080175946,-2.456955836061243,-20.689291637661107,1,0.4
9,46.82018049635167,-2.9909860220212368,-8.178588817478078,-9.34068033947328,-9.63407231653009,-30.19622671039147,6.91994238102158,-23.923290451364625,1.1221617787521723,-22.059960066099187,4.572349980212854,-5.853940496062932,4.029710944677268,-28.374977944459797,0.6910892950762659,-25.942556044245478,-3.039838697329718,-26.267928676550877,-7.06117157442275,-23.119423085263044,-2.3201526590908843,-20.11401005484578,1,0.45
10,46.820518775561276,-2.9910839553990662,-7.942844914450888,-9.34852007824867,-9.63407231653009,-30.19622671039147,7.019677771439519,-23.733523846067254,1.351818794984341,-21.93306210211601,4.553695118893171,-5.855886540650885,4.116977111666351,-28.29133749863659,0.7602857326579988,-25.84639253754304,-2.86780837696684,-26.233279632379663,-6.868696295661459,-22.930368543007663,-2.1908602447777525,-19.570312558930173,1,0.5
11,46.821952435068766,-2.9914990063812597,-7.702447549911156,-9.356621601832682,-9.63407231653009,-30.196226710391453,7.127066776203772,-23.545418373688772,1.576519577230596,-21.80220493891804,4.559481499358789,-5.855418076557671,4.213394476608167,-28.207852577125355,0.8409912928492913,-25.748411801168526,-2.6969800990613852,-26.194198040299142,-6.674921128378641,-22.736201544884995,-2.0690785931217963,-19.058199149914174,1,0.55
12,46.82438482367131,-2.9922031940027316,-7.457807323404215,-9.364961811565731,-9.634072316530045,-30.196226710391453,7.2418006040295815,-23.358923459478376,1.796616055451124,-21.66753329030703,4.588830731299575,-5.8526168461458985,4.318833150588995,-28.124473988459734,0.9328256864527323,-25.648686359697976,-2.527485772095168,-26.15094246885377,-6.479671658580562,-22.537310182370234,-1.954807704123052,-18.57766982779787,1,0.6000000000000001
13,46.8277192901662,-2.99316853729836,-7.209334834475215,-9.37351760878824,-9.63407231653009,-30.19622671039147,7.3635704636322,-23.173988528685186,2.012460159606058,-21.529191870084702,4.640864424405334,-5.847564591778238,4.4331632446951685,-28.041152541173414,1.035408624271024,-25.547288737707376,-2.3594573045498377,-26.103771486587835,-6.282773472273572,-22.33408254693859,-1.8480475777814902,-18.128724592581236,1,0.65
14,46.83185918335069,-2.994367055303122,-6.957440682669414,-9.382265894840609,-9.634072316530045,-30.19622671039147,7.492067563726874,-22.990563006558332,2.2244038196556977,-21.387325392052745,4.714704188365932,-5.840343055817261,4.556254870012978,-27.957839043799954,1.1483598171066869,-25.444291459772682,-2.1930266049071108,-26.052943662045678,-6.084052155463944,-22.126906730065215,-1.7487982140971179,-17.711363444264233,1,0.7000000000000001
15,46.83670785202203,-2.9957707670518685,-6.702535467532004,-9.391183571063273,-9.63407231653009,-30.19622671039147,7.626983113028856,-22.808596318346996,2.4327989655601385,-21.2420785700129,4.809471632871212,-5.83103398062561,4.687978137628724,-27.874484304873082,1.2712989757624311,-25.33976705046996,-2.028325581648734,-25.998717563771745,-5.8833332941579055,-21.9161708232253,-1.6570596130699506,-17.325586382846907,1,0.75
16,46.842168644977434,-2.9973516915795417,-6.445029788608209,-9.400247538796636,-9.63407231653009,-30.19622671039147,7.768008320253379,-22.62803788930025,2.637997527279612,-21.093596117766875,4.924288367610966,-5.819719108565935,4.828203158628702,-27.791039132926407,1.4038458110408452,-25.233788034375138,-1.8654861432563798,-25.941351760310333,-5.680442474361858,-21.70226291789407,-1.5728317746999656,-16.97139340832926,1,0.8
17,46.848144911014174,-2.9990818479210164,-6.185334245443258,-9.409434699381118,-9.63407231653009,-30.19622671039147,7.9148343941156485,-22.448837144667277,2.8403514347743197,-20.94202274911637,5.0582760022750985,-5.806480182000822,4.976800044099235,-27.707454336493555,1.545620033744548,-25.126426936064252,-1.7046401982117343,-25.88110482020584,-5.475205282082044,-21.485571105546693,-1.4961146989872005,-16.648784520711256,1,0.8500000000000001
18,46.854539998929496,-3.0009332551112347,-5.923859437582357,-9.418721954157128,-9.63407231653009,-30.19622671039147,8.067152543330952,-22.27094350969722,3.040212618004455,-20.78750317786317,5.210556146553431,-5.7913989432929,5.133638905126606,-27.62368072410818,1.696241354676249,-25.017756280113293,-1.545919654996574,-25.818235312002592,-5.267447303324769,-21.266483477658355,-1.4269083859316325,-16.35775971999295,1,0.9
19,46.86125725752066,-3.002877932185081,-5.6610159645707085,-9.428086204465068,-9.634072316530045,-30.19622671039147,8.224653976614526,-22.094306409639145,3.237933006930197,-20.630182117808886,5.3802504101357815,-5.774557134804794,5.29858985279715,-27.539669104303915,1.8553294846384472,-24.90784859109823,-1.3894564220925782,-25.753001804245,-5.056994124096329,-21.045388125704267,-1.365212835533232,-16.098319006174272,1,0.9500000000000001
20,46.868200035584906,-3.0048878981774645,-5.397214425953585,-9.437504351645403,-9.634072316530045,-30.19622671039147,8.387029902681585,-21.91887526974228,3.433864531511746,-20.470204282755308,5.5664804027120045,-5.756036498899153,5.47152299819712,-27.4553702856144,2.022504134433844,-24.7967763935951,-1.2353824079814713,-25.685662865477408,-4.8436713304030174,-20.82267314115961,-1.3110280477920437,-15.870462379255262,1,1.0
21,46.87527168191952,-3.006935172123337,-5.1328654212761435,-9.4469532970385,-9.63407231653009,-30.19622671039147,8.55397153024739,-21.744599515255686,3.628359121709282,-20.307714386504173,5.7683677339719495,-5.735918777938583,5.65230845241283,-27.370735076573325,2.197385014865036,-24.684612212179886,-1.0838295211449478,-25.616477064244183,-4.6273045082511715,-20.598726615499594,-1.26435402270803,-15.674189839235924,1,1.05
22,46.88237554532166,-3.008991773057554,-4.868379550083651,-9.456409941984802,-9.63407231653009,-30.19622671039147,8.725170068027222,-21.57142857142857,3.82176870748299,-20.142857142857142,5.9850340136054445,-5.714285714285719,5.84081632653061,-27.28571428571429,2.3795918367347024,-24.57142857142857,-0.9349296700647316,-25.54570296908968,-4.407719243647039,-20.373936640199375,-1.2251907602812064,-15.509501386116254,1,1.1
23,46.88941497458866,-3.0110297200150336,-4.604167411921297,-9.465851187824693,-9.63407231653009,-30.19622671039147,8.900316724736232,-21.399311863509997,4.014445218793103,-19.975777265615946,6.2156008513023195,-5.691219050303154,6.0369167316367776,-27.20025872157091,2.568744310845425,-24.457297995917163,-0.7888147632224869,-25.47359914855826,-4.184741122596918,-20.14869130673416,-1.0516312000451744,-15.457396882670128,1,1.1500000000000001
24,46.89629331851774,-3.0130210320306996,-4.340639606334271,-9.475253935898632,-9.63407231653009,-30.19622671039147,9.07910270908975,-21.228198816749174,4.206740585599776,-19.806619468582333,6.459189856752441,-5.666800528353544,6.240479778817589,-27.11431919267688,2.764462147999822,-24.34229301022165,-0.6456167091000282,-25.400424171194302,-3.958195731107141,-19.92337870657914,-0.8784423765009602,-15.405380138627477,1,1.2000000000000002
25,46.90291392590617,-3.0149377281394694,-4.078206732867866,-9.484595087547005,-9.63407231653009,-30.19622671039147,9.261219229802963,-21.058038856395186,4.3990067378631945,-19.635528465558004,6.714922639645621,-5.641111890799504,6.451375579159347,-27.027846507565847,2.966365059000567,-24.226486138918048,-0.5054674161790045,-25.326436605542167,-3.727908655184019,-19.698386931209534,-0.7058467316637059,-15.353503809630405,1,1.25
26,46.909180145551176,-3.016751827376232,-3.81727939106727,-9.493851544110253,-9.63407231653009,-30.19622671039147,9.446357495591123,-20.88878140769719,4.591595605543615,-19.462648970344674,6.981920809671728,-5.614234880003668,6.669474243748375,-26.94079147477139,3.174072754650216,-24.109949906582315,-0.3684987929411176,-25.251895020146225,-3.4937054808337735,-19.474104072100467,-0.5340667075485386,-15.30182055132098,1,1.3
27,46.91499532625001,-3.018435348775888,-3.558268180477674,-9.503000206928741,-9.63407231653009,-30.19622671039147,9.634208715169507,-20.720375895904333,4.784859118601146,-19.28812569674405,7.259305976520587,-5.586251238328637,6.894645883670985,-26.853104902827194,3.3872049457514652,-23.99275683779048,-0.23484274786809167,-25.17705798355081,-3.255411794062761,-19.25091822072719,-0.363324746170517,-15.250383019341259,1,1.35
28,46.920262816799905,-3.0199603113733637,-3.3015837006442936,-9.512017977342946,-9.63407231653009,-30.196226710391453,9.824464097253326,-20.55277174626574,4.979149206996041,-19.112103358557828,7.546199749882015,-5.55724270813705,7.126760610013484,-26.7647376002669,3.6053813431069184,-23.874979457118535,-0.10463118944165856,-25.102184064300307,-3.012853180877246,-19.029217468564877,-0.19384328954478347,-15.199243869333367,1,1.4000000000000001
29,46.92488596599815,-3.0212987342035733,-3.047636551112388,-9.52088175669323,-9.63407231653009,-30.19622671039147,10.01681485055784,-20.385918384030546,5.1748178006884515,-18.9347266695878,7.841723739445878,-5.527291031791536,7.365688533862123,-26.675640375624145,3.8282216575191867,-23.75669028914247,0.022003973856525222,-25.02753183093911,-2.765855227283571,-18.809389907088704,-0.02584477968644222,-15.148455756939413,1,1.4500000000000002
30,46.92876812264195,-3.022422636301396,-2.796837331427172,-9.529568446320056,-9.634072316530045,-30.196226710391453,10.21095218379823,-20.219765234447884,5.3722168296385995,-18.75614034363561,8.144999554902078,-5.496477951654691,7.611299766303247,-26.58576403743257,4.055345599790897,-23.63796185843826,0.14493083354472786,-24.953359852011523,-2.5142435192879713,-18.591823627773884,0.1404483413893874,-15.098071337801407,1,1.5
31,46.9318126355286,-3.0233040367017843,-2.5495966411338538,-9.538054947563795,-9.63407231653009,-30.19622671039147,10.406567305689821,-20.054261722766917,5.571698223806649,-18.576489094503035,8.455148805940308,-5.464885210089169,7.863464418423185,-26.495059394225805,4.286372880724699,-23.51886668958196,0.2640174811411573,-24.879926696061958,-2.257843642896818,-18.37690672209562,0.304813631667601,-15.04814326756152,1,1.55
32,46.93392285345534,-3.0239149544396033,-2.30632507977764,-9.546318161764912,-9.63407231653009,-30.196226710391485,10.603351424947805,-19.88935727423677,5.773613913152831,-18.395917635991772,8.77129310225051,-5.4325945494575905,8.122052601308175,-26.40347725453755,4.520923211123188,-23.39947730714952,0.3791320081641948,-24.807490931634767,-1.9964811841163923,-18.16502728152904,0.46702864913307934,-14.998724201861794,1,1.6
33,46.93500212521935,-3.0242274085497955,-2.0674332469037378,-9.554334990263778,-9.63407231653009,-30.19622671039147,10.800995750287434,-19.725001314106535,5.978315827637333,-18.214570681903524,9.09255405352253,-5.399687712122584,8.386934426044558,-26.310968426901347,4.7586163017890275,-23.279866235716913,0.49014250613213095,-24.73631112727427,-1.7299817289529225,-17.9565733975494,0.6268709517707933,-14.949866796344294,1,1.6500000000000001
34,46.93495379961799,-3.024213418067245,-1.8333317420573856,-9.56208233440082,-9.63407231653009,-30.19622671039147,10.999191490423993,-19.56114326762543,6.186155897220294,-18.03259294603999,9.418053269446158,-5.366246440446737,8.657980003718666,-26.217483719850915,4.999071863524824,-23.160105999860214,0.5969170665631889,-24.666645851524898,-1.4581708634127648,-17.751933161631875,0.7841180975655633,-14.901623706651131,1,1.7000000000000002
35,46.93368122544847,-3.023845002026875,-1.6044311647838128,-9.56953709551646,-9.63407231653009,-30.196226710391453,11.197629854072671,-19.397732560042527,6.3974860518619625,-17.850129142202928,9.746912359711267,-5.3323524767927175,8.935059445416742,-26.12297394191986,5.241909607133211,-23.04026912415537,0.699323780975712,-24.598753672930982,-1.180874173502208,-17.55149466525164,0.9385476445022699,-14.854047588424406,1,1.75
36,46.93108775150796,-3.023094179463609,-1.381142114628219,-9.576676174951125,-9.63407231653009,-30.19622671039147,11.396002049948699,-19.234718616606997,6.612658221522485,-17.667323984194045,10.07825293400769,-5.298087563523153,9.218042862225108,-26.02738990164186,5.4867492434167975,-22.920428133178373,0.7972307408879611,-24.53289316003691,-0.8979172452275473,-17.3556459998839,1.0899371505658388,-14.807191097306191,1,1.8
37,46.9270767265938,-3.0219329694123065,-1.1638751911357965,-9.583476474045211,-9.63407231653009,-30.19622671039147,11.593999286767374,-19.07205086256796,6.83202433616211,-17.484322185815053,10.411196602025267,-5.263533443000617,9.506800365230063,-25.930682407550524,5.733210483178221,-22.80065555150522,0.8905060378182269,-24.469322881386987,-0.6091256645950871,-17.164775257003857,1.2380641737411282,-14.76110688893856,1,1.85
38,46.9215514995032,-3.0203333909079153,-0.953040993851828,-9.589914894139143,-9.63407231653009,-30.19622671039147,11.791312773243892,-18.909678723174558,7.0559363257410075,-17.301268460867657,10.744864973453836,-5.228771857587759,9.801202065517948,-25.832802268179492,5.9809130372201285,-22.681023903711903,0.9790177632848152,-24.408301405525652,-0.31432501761110043,-16.979270528086655,1.3827062720130714,-14.715847618963593,1,1.9000000000000001
39,46.91441541903348,-3.018267462985349,-0.7490501223214836,-9.595968336573335,-9.63407231653009,-30.19622671039147,11.987633718093523,-18.747551623675964,7.284746120219341,-17.1183075231536,11.078379657983229,-5.1938845496472315,10.101118074175016,-25.733700292062437,6.229476616345108,-22.56160571437448,1.0626340088059867,-24.35008730099723,-0.013340890281928636,-16.79951990460753,1.523641003366504,-14.671465943023426,1,1.9500000000000002
40,46.90557183398179,-3.015707204679473,-0.5523131760900378,-9.601613702688198,-9.634072316530045,-30.19622671039147,12.182653330031512,-18.585618989321205,7.5188056495573505,-16.935584086474595,11.410862265303313,-5.158953261541625,10.406418502287593,-25.63332728773296,6.478520931355835,-22.442473508068854,1.1412228659000698,-24.294939136346077,0.29400113138617756,-16.62591147804167,1.6606459257863815,-14.628014516760095,1,2.0
41,46.89492409314544,-3.012624635025243,-0.3632407547026155,-9.606827893824168,-9.63407231653009,-30.19622671039147,12.376062817773038,-18.423830245359554,7.758466843715168,-16.753242864632334,11.741434405103911,-5.124059735633581,10.716973460941986,-25.531634063724752,6.727665693054873,-22.32369980937109,1.2146524260853102,-24.24311548011657,0.6078754613869071,-16.45883333986423,1.7934985972575321,-14.585545995815702,1,2.0500000000000003
42,46.88237554532166,-3.008991773057554,-0.18224345770452927,-9.611587811321629,-9.63407231653009,-30.19622671039147,12.567553390033428,-18.26213481704008,8.004081632653065,-16.571428571428577,12.069217687074836,-5.0892857142857215,11.03265306122449,-25.42857142857143,6.9765306122449005,-22.205357142857142,1.2827907808800059,-24.19487490085309,0.9284565137139261,-16.29867358155047,1.9219765757648892,-14.54411303583232,1,2.1
43,46.86787533546988,-3.004793896009626,-0.009629975705188799,-9.61587682220641,-9.63407231653009,-30.19622671039147,12.757040447885394,-18.10049999319694,8.255917183359156,-16.390265893383763,12.39351048736253,-5.054698804557768,11.353317562571322,-25.32409599403606,7.224796597171243,-22.087500119824238,1.3455558266540693,-24.150413165033687,1.255835368063055,-16.145714803805358,2.837761110812079,-14.506595413210457,1,2.15
44,46.85155579319829,-3.0000693139080687,0.15469863642878823,-9.619704156245914,-9.63407231653009,-30.19622671039147,12.945336161831719,-17.938964517004365,8.513901610933576,-16.20979940789355,12.714318247939515,-5.02031007229802,11.678787817818264,-25.218187584799534,7.472389345850235,-21.97011169845428,1.4030646791836991,-24.109674830871512,1.5897697669383224,-15.999817644253312,3.742047005957323,-14.469548863877101,1,2.2
45,46.833595044277224,-2.9948695949778217,0.3109432327665742,-9.623085508892924,-9.63407231653009,-30.19622671039147,13.133476894732734,-17.777584995221652,8.777878267504466,-16.030053665072284,13.031823177234944,-4.9861164480518605,12.008874828151065,-25.110831828772106,7.7192957537408775,-21.853156923650506,1.455484259096807,-24.072541654513266,1.9299341185458514,-15.860737249748547,4.6348342612006075,-14.432973387832291,1,2.25
46,46.814171214477064,-2.9892463074437385,0.45930466737734915,-9.626036575600244,-9.634072316530045,-30.196226710391453,13.322499009448673,-17.616418034607975,9.047690505199881,-15.851053215034314,13.346207483677931,-4.952114862364646,12.343389594755411,-25.0020143538641,7.965502716302225,-21.736600840316015,1.502981487021168,-24.0388953921059,2.2760028310918017,-15.728228767145294,5.516122876542008,-14.396868985075967,1,2.3000000000000003
47,46.79346242956815,-2.9832510195308184,0.5999837943302782,-9.628573051820668,-9.63407231653009,-30.19622671039147,13.51343886883986,-17.45552024192263,9.323181676147954,-15.67282260789405,13.657653375697592,-4.9183022457818195,12.682143118817024,-24.891720787985847,8.210997128993242,-21.62040849335397,1.545723283584663,-24.008617799796124,2.6276503127822206,-15.602047343297777,6.385912851981448,-14.361235655608198,1,2.35
48,46.77164681532085,-2.976935299463952,0.7331814676944806,-9.630710633006979,-9.63407231653009,-30.19622671039147,13.707332835766604,-17.294948223924862,9.60419513247677,-15.49538639376583,13.966343061723052,-4.884675528848701,13.024946401521646,-24.77993675904761,8.455765887273028,-21.504544927667567,1.5838765694151127,-23.981590633730775,2.984550971823298,-15.48194812506028,7.2442041875189505,-14.32607339942893,1,2.4000000000000004
49,46.74890249750554,-2.970350715468008,0.8590985415391971,-9.63246501461199,-9.634072316530045,-30.196226710391453,13.905217273089205,-17.134758587373906,9.890574226314484,-15.318769122764074,14.272458750183443,-4.851231642110751,13.371610444054962,-24.666647894959674,8.699795886600576,-21.388975188159908,1.6176082651403978,-23.957695650056635,3.346379216421097,-15.36768625928693,8.090996883154501,-14.291382216538217,1,2.45
50,46.72540760189255,-2.963548835767975,0.9779358699335398,-9.633851892088492,-9.63407231653009,-30.19622671039147,14.10812854366791,-16.975007939029066,10.182162309789167,-15.1429953450031,14.576182649507878,-4.817967516113302,13.721946247602691,-24.551839823632395,8.943074022434942,-21.27366431973419,1.6470852913883083,-23.93681460492055,3.7128094547818082,-15.25901689283204,8.926290938888123,-14.257162106936011,1,2.5
